start_id,end_id,role,alias
15,2,Phó Phòng,"phó phòng, pho phong"
14,7,Nhân viên,"nhân viên, nhan vien"
13,7,Nhân viên,"nhân viên, nhan vien"
12,7,Nhân viên,"nhân viên, nhan vien"
11,7,Nhân viên,"nhân viên, nhan vien"
8,1,CPO - Giám đốc Sản phẩm,"cpo - giám đốc sản phẩm, cpo - giam doc san pham, trưởng phòng, truong phong"
7,1,CBO - Giám đốc Kinh doanh,"cbo - giám đốc kinh doanh, cbo - giam doc kinh doanh"
6,1,CIO - Giám đốc Thông tin,"cio - giám đốc thông tin, cio - giam doc thong tin"
5,1,CCO - Giám đốc Sáng tạo,"cco - giám đốc sáng tạo, cco - giam doc sang tao"
4,1,CTO - Giám đốc Công nghệ,"cto - giám đốc công nghệ, cto - giam doc cong nghe"
3,1,COO - Giám đốc Thường trực ,"coo - giám đốc thường trực, coo - giam doc thuong truc"
2,1,CIA - Giám đốc Nội chính ,"cia - giám đốc nội chính, cia - giam doc noi chinh"
1,1,CEO - Giám đốc điều hành,"ceo - giám đốc điều hành, ceo - giam doc dieu hanh"
